dataset,model,extraction_layer,train_accuracy,test_accuracy,baseline_train_accuracy,baseline_test_accuracy,epochs_trained
MNIST,GeneralParaLIF,0,0.8801166666666667,0.8791,0.9928166666666668,0.9852,5
MNIST,GeneralParaLIF,1,0.8815333333333333,0.8803,0.9928166666666668,0.9852,5
MNIST,GeneralParaLIF,2,0.7037333333333333,0.7044,0.9928166666666668,0.9852,5
MNIST,GeneralParaLIF,3,0.8931166666666667,0.8893,0.9928166666666668,0.9852,5
MNIST,GeneralParaLIF,4,0.95605,0.9502,0.9928166666666668,0.9852,5
MNIST,GeneralSNN,0,0.8434,0.8443,0.9928166666666668,0.9852,5
MNIST,GeneralSNN,1,0.87765,0.8792,0.9928166666666668,0.9852,5
MNIST,GeneralSNN,2,0.98735,0.9841,0.9928166666666668,0.9852,5
MNIST,GeneralSNN,3,0.9928333333333332,0.9871,0.9928166666666668,0.9852,5
MNIST,GeneralSNN,4,0.9571166666666666,0.9527,0.9928166666666668,0.9852,5
FASHION,GeneralParaLIF,0,0.7783333333333333,0.7646,0.96445,0.9015,20
FASHION,GeneralParaLIF,1,0.70115,0.6918,0.96445,0.9015,20
FASHION,GeneralParaLIF,2,0.9256166666666666,0.8877,0.96445,0.9015,20
FASHION,GeneralParaLIF,3,0.9481166666666668,0.8937,0.96445,0.9015,20
FASHION,GeneralParaLIF,4,0.6538833333333334,0.6319,0.96445,0.9015,20
FASHION,GeneralSNN,0,0.8654,0.8545,0.96445,0.9015,20
FASHION,GeneralSNN,1,0.83575,0.8273,0.96445,0.9015,20
FASHION,GeneralSNN,2,0.8651666666666666,0.8414,0.96445,0.9015,20
FASHION,GeneralSNN,3,0.9501166666666668,0.8944,0.96445,0.9015,20
FASHION,GeneralSNN,4,0.53275,0.5218,0.96445,0.9015,20
SVHN,GeneralParaLIF,0,0.6557598591260904,0.6418254456054088,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralParaLIF,1,0.6058806666939678,0.6007221880762139,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralParaLIF,2,0.7540576327176925,0.7294483712354026,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralParaLIF,3,0.8390051462658858,0.8048939766441303,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralParaLIF,4,0.7027178290129271,0.6546942224953903,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralSNN,0,0.5474152640703277,0.541641057160418,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralSNN,1,0.5010988710976425,0.5021511985248924,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralSNN,2,0.6835797261695128,0.6652581438229871,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralSNN,3,0.8554677368715617,0.8175706822372465,0.9241710689763436,0.8734634296250768,20
SVHN,GeneralSNN,4,0.5029689995495311,0.4870159803318992,0.9241710689763436,0.8734634296250768,20
