model,attack,epsilon,susceptibility_rate,dataset
LeNet5,LinfFastGradientAttack,0.01,0.0,MNIST
ParaLIF,LinfFastGradientAttack,0.01,0.7247706422018348,MNIST
LIF,LinfFastGradientAttack,0.01,0.0,MNIST
LeNet5,LinfFastGradientAttack,0.05,0.0,MNIST
ParaLIF,LinfFastGradientAttack,0.05,0.7272727272727273,MNIST
LIF,LinfFastGradientAttack,0.05,0.0,MNIST
LeNet5,LinfFastGradientAttack,0.1,0.0,MNIST
ParaLIF,LinfFastGradientAttack,0.1,0.7886178861788617,MNIST
LIF,LinfFastGradientAttack,0.1,0.0088495575221238,MNIST
LeNet5,LinfFastGradientAttack,0.25,0.0,MNIST
ParaLIF,LinfFastGradientAttack,0.25,0.9629629629629628,MNIST
LIF,LinfFastGradientAttack,0.25,0.0932203389830508,MNIST
LeNet5,LinfFastGradientAttack,0.5,0.0,MNIST
ParaLIF,LinfFastGradientAttack,0.5,0.9732142857142856,MNIST
LIF,LinfFastGradientAttack,0.5,0.5645161290322581,MNIST
LeNet5,LinfFastGradientAttack,1.0,0.0220588235294117,MNIST
ParaLIF,LinfFastGradientAttack,1.0,1.0,MNIST
LIF,LinfFastGradientAttack,1.0,1.0,MNIST
LeNet5,LinfDeepFoolAttack,0.01,0.0,MNIST
ParaLIF,LinfDeepFoolAttack,0.01,0.6746031746031746,MNIST
LIF,LinfDeepFoolAttack,0.01,0.0,MNIST
LeNet5,LinfDeepFoolAttack,0.05,0.0,MNIST
ParaLIF,LinfDeepFoolAttack,0.05,0.7520661157024794,MNIST
LIF,LinfDeepFoolAttack,0.05,0.0,MNIST
LeNet5,LinfDeepFoolAttack,0.1,0.0296296296296296,MNIST
ParaLIF,LinfDeepFoolAttack,0.1,0.6666666666666666,MNIST
LIF,LinfDeepFoolAttack,0.1,0.0,MNIST
LeNet5,LinfDeepFoolAttack,0.25,0.6330935251798561,MNIST
ParaLIF,LinfDeepFoolAttack,0.25,0.7244094488188977,MNIST
LIF,LinfDeepFoolAttack,0.25,0.0,MNIST
LeNet5,LinfDeepFoolAttack,0.5,1.0,MNIST
ParaLIF,LinfDeepFoolAttack,0.5,0.6991869918699187,MNIST
LIF,LinfDeepFoolAttack,0.5,0.0,MNIST
LeNet5,LinfDeepFoolAttack,1.0,1.0,MNIST
ParaLIF,LinfDeepFoolAttack,1.0,0.7424242424242424,MNIST
LIF,LinfDeepFoolAttack,1.0,0.0,MNIST
LeNet5,LInfFMNAttack,0.01,0.0,MNIST
ParaLIF,LInfFMNAttack,0.01,0.6929133858267716,MNIST
LIF,LInfFMNAttack,0.01,0.0,MNIST
LeNet5,LInfFMNAttack,0.05,0.0,MNIST
ParaLIF,LInfFMNAttack,0.05,0.7706422018348624,MNIST
LIF,LInfFMNAttack,0.05,0.0,MNIST
LeNet5,LInfFMNAttack,0.1,0.036036036036036,MNIST
ParaLIF,LInfFMNAttack,0.1,0.719626168224299,MNIST
LIF,LInfFMNAttack,0.1,0.0,MNIST
LeNet5,LInfFMNAttack,0.25,1.0,MNIST
ParaLIF,LInfFMNAttack,0.25,0.7894736842105263,MNIST
LIF,LInfFMNAttack,0.25,0.008695652173913,MNIST
LeNet5,LInfFMNAttack,0.5,1.0,MNIST
ParaLIF,LInfFMNAttack,0.5,0.7803030303030303,MNIST
LIF,LInfFMNAttack,0.5,0.0178571428571428,MNIST
LeNet5,LInfFMNAttack,1.0,1.0,MNIST
ParaLIF,LInfFMNAttack,1.0,0.7076923076923077,MNIST
LIF,LInfFMNAttack,1.0,0.0,MNIST
LeNet5,SquareAttack,0.01,0.0,MNIST
ParaLIF,SquareAttack,0.01,0.6910569105691057,MNIST
LIF,SquareAttack,0.01,0.0,MNIST
LeNet5,SquareAttack,0.05,0.0,MNIST
ParaLIF,SquareAttack,0.05,0.7121212121212122,MNIST
LIF,SquareAttack,0.05,0.0,MNIST
LeNet5,SquareAttack,0.1,0.0,MNIST
ParaLIF,SquareAttack,0.1,0.7066666666666667,MNIST
LIF,SquareAttack,0.1,0.0,MNIST
LeNet5,SquareAttack,0.25,0.0,MNIST
ParaLIF,SquareAttack,0.25,0.7454545454545455,MNIST
LIF,SquareAttack,0.25,0.0,MNIST
LeNet5,SquareAttack,0.5,0.1893939393939394,MNIST
ParaLIF,SquareAttack,0.5,0.6782608695652174,MNIST
LIF,SquareAttack,0.5,0.0091743119266055,MNIST
LeNet5,SquareAttack,1.0,0.8943089430894309,MNIST
ParaLIF,SquareAttack,1.0,0.719626168224299,MNIST
LIF,SquareAttack,1.0,0.5192307692307693,MNIST
